Algorithm,Parameters,Dataset,Fold,Description,Precision,Recall,F-measure,AUC,G-mean
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.001}",pima,2,Preliminary,0.625,0.671642,0.647482,0.727821,0.725649
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.001}",pima,2,Preliminary,0.581081,0.641791,0.609929,0.696896,0.694714
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.001}",pima,1,Preliminary,0.580153,0.567164,0.573585,0.673582,0.665123
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.1}",pima,2,Preliminary,0.610738,0.679104,0.64311,0.723552,0.722186
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.001}",pima,2,Preliminary,0.529412,0.537313,0.533333,0.640657,0.632267
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.01}",pima,2,Preliminary,0.543478,0.559701,0.551471,0.653851,0.647037
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.1}",pima,2,Preliminary,0.614173,0.58209,0.597701,0.693045,0.684105
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 10.0}",pima,3,Preliminary,0.612403,0.589552,0.60076,0.694776,0.686762
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 0.001}",pima,2,Preliminary,0.644928,0.664179,0.654412,0.73409,0.730753
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 10.0}",pima,2,Preliminary,0.672269,0.597015,0.632411,0.720507,0.709845
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.1}",pima,3,Preliminary,0.560811,0.619403,0.588652,0.679701,0.677022
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 1.0}",pima,2,Preliminary,0.666667,0.61194,0.638132,0.72397,0.71525
